,country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,continent
109,Mauritania,0,0,0,0,AF
110,Mauritius,98,31,18,2.6,AF
111,Mexico,238,68,5,5.5,NA
112,Micronesia,62,50,18,2.3,OC
113,Monaco,0,0,0,0,EU
114,Mongolia,77,189,8,4.9,AS
115,Montenegro,31,114,128,4.9,EU
116,Morocco,12,6,10,0.5,AF
117,Mozambique,47,18,5,1.3,AF
118,Myanmar,5,1,0,0.1,AS
119,Namibia,376,3,1,6.8,AF
120,Nauru,49,0,8,1,OC
121,Nepal,5,6,0,0.2,AS
122,Netherlands,251,88,190,9.4,EU
123,New Zealand,203,79,175,9.3,OC
124,Nicaragua,78,118,1,3.5,NA
125,Niger,3,2,1,0.1,AF
126,Nigeria,42,5,2,9.1,AF
127,Niue,188,200,7,7,OC
128,Norway,169,71,129,6.7,EU
129,Oman,22,16,1,0.7,AS
130,Pakistan,0,0,0,0,AS
131,Palau,306,63,23,6.9,OC
132,Panama,285,104,18,7.2,NA
133,Papua New Guinea,44,39,1,1.5,OC
134,Paraguay,213,117,74,7.3,SA
135,Peru,163,160,21,6.1,SA
136,Philippines,71,186,1,4.6,AS
137,Poland,343,215,56,10.9,EU
138,Portugal,194,67,339,11,EU
139,Qatar,1,42,7,0.9,AS
140,South Korea,140,16,9,9.8,AS
141,Moldova,109,226,18,6.3,EU
142,Romania,297,122,167,10.4,EU
143,Russian Federation,247,326,73,11.5,AS
144,Rwanda,43,2,0,6.8,AF
145,St. Kitts & Nevis,194,205,32,7.7,NA
146,St. Lucia,171,315,71,10.1,NA
147,St. Vincent & the Grenadines,120,221,11,6.3,NA
148,Samoa,105,18,24,2.6,OC
149,San Marino,0,0,0,0,EU
150,Sao Tome & Principe,56,38,140,4.2,AF
151,Saudi Arabia,0,5,0,0.1,AS
152,Senegal,9,1,7,0.3,AF
153,Serbia,283,131,127,9.6,EU
154,Seychelles,157,25,51,4.1,AF
155,Sierra Leone,25,3,2,6.7,AF
156,Singapore,60,12,11,1.5,AS
157,Slovakia,196,293,116,11.4,EU
158,Slovenia,270,51,276,10.6,EU
159,Solomon Islands,56,11,1,1.2,OC
160,Somalia,0,0,0,0,AF
161,South Africa,225,76,81,8.2,AF
162,Spain,284,157,112,10,EU
163,Sri Lanka,16,104,0,2.2,AS
164,Sudan,8,13,0,1.7,AF
165,Suriname,128,178,7,5.6,SA
166,Swaziland,90,2,2,4.7,AF
167,Sweden,152,60,186,7.2,EU
168,Switzerland,185,100,280,10.2,EU
169,Syria,5,35,16,1,AS
170,Tajikistan,2,15,0,0.3,AS
171,Thailand,99,258,1,6.4,AS
172,Macedonia,106,27,86,3.9,EU
173,Timor-Leste,1,1,4,0.1,AS
174,Togo,36,2,19,1.3,AF
175,Tonga,36,21,5,1.1,OC
176,Trinidad & Tobago,197,156,7,6.4,NA
177,Tunisia,51,3,20,1.3,AF
178,Turkey,51,22,7,1.4,AS
179,Turkmenistan,19,71,32,2.2,AS
180,Tuvalu,6,41,9,1,OC
181,Uganda,45,9,0,8.3,AF
182,Ukraine,206,237,45,8.9,EU
183,United Arab Emirates,16,135,5,2.8,AS
184,United Kingdom,219,126,195,10.4,EU
185,Tanzania,36,6,1,5.7,AF
186,USA,249,158,84,8.7,NA
187,Uruguay,115,35,220,6.6,SA
188,Uzbekistan,25,101,8,2.4,AS
189,Vanuatu,21,18,11,0.9,OC
190,Venezuela,333,100,3,7.7,SA
191,Vietnam,111,2,1,2,AS
192,Yemen,6,0,0,0.1,AS
193,Zambia,32,19,4,2.5,AF
194,Zimbabwe,64,18,4,4.7,AF
